Dia,Hora,Viajes
0,0,38
0,1,0
0,2,0
0,3,0
0,4,0
0,5,145
0,6,627.5
0,7,1757.25
0,8,3181
0,9,2257.5
0,10,1279
0,11,1069.75
0,12,1115
0,13,1401.25
0,14,1790.75
0,15,1613.25
0,16,1360.25
0,17,1932.75
0,18,2885.25
0,19,2320.75
0,20,1134.75
0,21,718.25
0,22,455.75
0,23,218.25
