id,principal,secundario,referencia,colonia,delegacion,longitud,latitud,nombre
135,Álvaro Obregón,Morelia,Frente a Hotel Stanza,Roma Norte,Cuauhtémoc,-99.155099,19.419225,Álvaro Obregón-Morelia
136,Álvaro Obregón,Tonalá,Frente a Agencia Renault,Roma Norte,Cuauhtémoc,-99.162729,19.417715,Álvaro Obregón-Tonalá
137,Álvaro Obregón,Mérida,Frente a Bísquets Obregón,Roma Norte,Cuauhtémoc,-99.157081,19.418774,Álvaro Obregón-Mérida
138,Guanajuato,Frontera,Frente a número 17,Roma Norte,Cuauhtémoc,-99.155313,19.417702,Guanajuato-Frontera
139,Tonalá,Guanajuato,Frente a número 120,Roma Norte,Cuauhtémoc,-99.162097,19.416128,Tonalá-Guanajuato
140,Mérida,Zacatecas,"Frente a la tienda ""People For Bikes""",Roma Norte,Cuauhtémoc,-99.156853,19.416605,Mérida-Zacatecas
141,Zacatecas,Luis Cabrera,A un costado de la Universidad Londres Campus Luis Cabrera,Roma Norte,Cuauhtémoc,-99.15954,19.415905,Zacatecas-Luis Cabrera
142,San Luis Potosí,Eje 2 Pte. Monterrey,Frente a estacionamiento Público,Roma Norte,Cuauhtémoc,-99.164121,19.413232,San Luis Potosí-Eje 2 Pte. Monterrey
143,Córdoba,San Luis Potosí,Frente a casa Amarilla,Roma Norte,Cuauhtémoc,-99.157542,19.414303,Córdoba-San Luis Potosí
144,Frontera,San Luis Potosí,Detrás de Gasolinera,Roma Norte,Cuauhtémoc,-99.154837,19.415192,Frontera-San Luis Potosí
145,Eje 2 Sur Yucatán,Chiapas,"Frente a Edificio No. 132, Contra esquina de Gasolinera",Roma Norte,Cuauhtémoc,-99.160661,19.41286,Eje 2 Sur Yucatán-Chiapas
146,Coahuila,Manzanillo,Frente a estacionamiento Público,Roma Norte,Cuauhtémoc,-99.165716,19.410737,Coahuila-Manzanillo
147,Coahuila,Orizaba,A un costado de Centro Pare de Sufrir,Roma Norte,Cuauhtémoc,-99.158443,19.412182,Coahuila-Orizaba
148,Coahuila,Av. Cuauhtémoc,Frente a tienda Mendilandia,Roma Norte,Cuauhtémoc,-99.155116,19.412829,Coahuila-Av. Cuauhtémoc
149,Mérida,Antonio Anza,Frente a Centro de Apoyo Socio Jurídico a Victimas del Delito Violento,Roma Norte,Cuauhtémoc,-99.155699,19.41199,Mérida-Antonio Anza
150,Campeche,Medellín,Frente a taquería El Charro,Roma Sur,Cuauhtémoc,-99.164292,19.409965,Campeche-Medellín
151,Campeche,Tonalá,Frente al No. 48,Roma Sur,Cuauhtémoc,-99.160873,19.410529,Campeche-Tonalá
152,Tlacotalpan,Campeche,Detrás de la renta de Vestidos de Noche.,Roma Sur,Cuauhtémoc,-99.167181,19.409098,Tlacotalpan-Campeche
153,Manzanillo,Tlaxcala,A un costado del hospital trinidad,Roma Sur,Cuauhtémoc,-99.165141,19.407468,Manzanillo-Tlaxcala
154,Tuxpan,Tlaxcala,Frente a Óptica Rochester,Roma Sur,Cuauhtémoc,-99.167962,19.406683,Tuxpan-Tlaxcala
155,Jalapa,Tlaxcala,Frente a entrada de Deportivo,Roma Sur,Cuauhtémoc,-99.159911,19.408218,Jalapa-Tlaxcala
156,Tepic,Amenalco,frente a Edificio No. 40,Roma Sur,Cuauhtémoc,-99.162171,19.407124,Tepic-Amenalco
157,Tepic,Tlacotalpan,Frente a café Carretino,Roma Sur,Cuauhtémoc,-99.166616,19.406236,Tepic-Tlacotalpan
158,Huatabampo,Eje 1 Pte. Av. Cuauhtémoc,Frente a entrada del Metro centro Médico,Roma Sur,Cuauhtémoc,-99.155541,19.407507,Huatabampo-Eje 1 Pte. Av. Cuauhtémoc
159,Huatabampo,Eje 1 Pte. Av. Cuauhtémoc,Frente a entrada del Metro Centro Médico,Roma Sur,Cuauhtémoc,-99.155373,19.407517,Huatabampo-Eje 1 Pte. Av. Cuauhtémoc
160,Alfonso Herrera,Gabino Barreda,Frente al numero 81,San Rafael,Cuauhtémoc,-99.163455,19.440252,Alfonso Herrera-Gabino Barreda
161,Quintana Roo,Manzanillo,Frente al número 35,Roma Sur,Cuauhtémoc,-99.164913,19.405533,Quintana Roo-Manzanillo
162,Tehuantepec,Medellín,Frente al numero 132,Roma Sur,Cuauhtémoc,-99.162485,19.404907,Tehuantepec-Medellín
163,Toluca,Bajío,A un costado de Edificio,Roma Sur,Cuauhtémoc,-99.15643,19.405246,Toluca-Bajío
164,Bajío,Tlacotalpan,A un costado de SUMESA,Roma Sur,Cuauhtémoc,-99.16596,19.403204,Bajío-Tlacotalpan
165,Bajío,Eje 2 Pte. Monterrey,Frente a Restaurant ROMA,Roma Sur,Cuauhtémoc,-99.160503,19.404268,Bajío-Eje 2 Pte. Monterrey
166,Progreso,Cda. Antonio Maceo,Frente al Escritorio Público Santa Fé,Escandón,Miguel Hidalgo,-99.183549,19.406069,Progreso-Cda. Antonio Maceo
167,General Salvador Alvarado,Progreso,Frente a Papelería,Escandón,Miguel Hidalgo,-99.179375,19.404651,General Salvador Alvarado-Progreso
168,Comercio,Progreso,Al lado del Jardín Morelos,Escandón,Miguel Hidalgo,-99.1776,19.403997,Comercio-Progreso
169,Prosperidad,Progreso,Frente a INCOMEX,Escandón,Miguel Hidalgo,-99.174934,19.403019,Prosperidad-Progreso
170,Observatorio Oriente,Revolución,A un costado del Hotel Ermita,Escandón,Miguel Hidalgo,-99.184342,19.404029,Observatorio Oriente-Revolución
171,Comercio,José Martí,Frente a Farmacia Similares,Escandón,Miguel Hidalgo,-99.10416,19.24908,Comercio-José Martí
172,General Francisco Murguía,José Martí,Frente al No. 18,Escandón,Miguel Hidalgo,-99.181553,19.403365,General Francisco Murguía-José Martí
173,Minería,José Martí,Frente a rosticería Pollos de Jalisco,Escandón,Miguel Hidalgo,-99.176398,19.401682,Minería-José Martí
174,Joaquín García,Ignacio Manuel Altamirano,Frente al numero 39,San Rafael,Cuauhtémoc,-99.161636,19.441114,Joaquín García-Ignacio Manuel Altamirano
175,Mutualismo,José Martí,Frente a locales de comida,Escandón,Miguel Hidalgo,-99.172645,19.400806,Mutualismo-José Martí
176,Benjamín Hill,Maestro José Vasconcelos,Frente a estacionamiento,Hipódromo Condesa,Cuauhtémoc,-99.183086,19.40923,Benjamín Hill-Maestro José Vasconcelos
177,Benjamín Hill,Carlos Zetina,A un costado de la Escuela Secundaria Técnica no.8,Hipódromo Condesa,Cuauhtémoc,-99.181692,19.408841,Benjamín Hill-Carlos Zetina
178,Tamaulipas,Francisco Murguía,Frente a edificio de color amarillo,Hipódromo Condesa,Cuauhtémoc,-99.180457,19.406833,Tamaulipas-Francisco Murguía
179,Nuevo. León,Quintana Roo,Frente a Salón Sol,Hipódromo,Cuauhtémoc,-99.171438,19.404452,Nuevo. León-Quintana Roo
180,Quintana Roo,Villa Hermosa,Frente a estacionamiento de SAGARPA,Hipódromo,Cuauhtémoc,-99.169953,19.404554,Quintana Roo-Villa Hermosa
181,Benjamín Franklin,Saltillo,Frente al número 173,Hipódromo,Cuauhtémoc,-99.175095,19.404976,Benjamín Franklin-Saltillo
182,Nuevo. León,Insurgentes Sur,Frente a Gasolinera,Hipódromo,Cuauhtémoc,-99.170466,19.400665,Nuevo. León-Insurgentes Sur
183,Gabino Barrera,Guillermo Prieto,Frente al numero 89,San Rafael,Cuauhtémoc,-99.164018,19.437665,Gabino Barrera-Guillermo Prieto
184,General Gómez Pedraza,Gobernador Tiburcio Montiel,Frente a No. 72,San Miguel Chapultepec,Miguel Hidalgo,-99.185083,19.414793,General Gómez Pedraza-Gobernador Tiburcio Montiel
185,General Antonio León,Gral. Pedro Antonio de los Santos,Frente al No. 18,San Miguel Chapultepec,Miguel Hidalgo,-99.182805,19.412776,General Antonio León-Gral. Pedro Antonio de los Santos
186,Gregorio V. Gelati,Francisco Molinos del C.,Frente al No. 78 Brunchdeli,San Miguel Chapultepec,Miguel Hidalgo,-99.188751,19.412489,Gregorio V. Gelati-Francisco Molinos del C.
187,General Cano,Gobernador Gregorio V. Gelati,A un costado del 7 Eleven,San Miguel Chapultepec,Miguel Hidalgo,-99.185514,19.411227,General Cano-Gobernador Gregorio V. Gelati
188,Gobernador Melchor Múzquiz,Gobernador Ignacio Esteva,"Frente a Abarrotes ""Don Pedro""",San Miguel Chapultepec,Miguel Hidalgo,-99.190139,19.411711,Gobernador Melchor Múzquiz-Gobernador Ignacio Esteva
189,Gobernador Rafael Rebollar,Gobernador José Ceballos,Frente a Tintorería,San Miguel Chapultepec,Miguel Hidalgo,-99.187978,19.410036,Gobernador Rafael Rebollar-Gobernador José Ceballos
190,General José Moran,Maestro José Vasconcelos,Frente al No. 16,San Miguel Chapultepec,Miguel Hidalgo,-99.18432,19.409421,General José Moran-Maestro José Vasconcelos
191,Gobernador Rafael Rebollar,Gobernado Vicente Eguia,Frente a Estacionamiento,San Miguel Chapultepec,Miguel Hidalgo,-99.187953,19.407904,Gobernador Rafael Rebollar-Gobernado Vicente Eguia
192,Rubén Darío,Reforma,Dentro de Parque,Bosque de Chapultepec,Miguel Hidalgo,-99.190755,19.42592,Rubén Darío-Reforma
193,Rubén Darío,Reforma,Dentro de Parque,Bosque de Chapultepec,Miguel Hidalgo,-99.190733,19.425907,Rubén Darío-Reforma
194,Circuito Mahatma Gandhi,Av. Paseo de la Reforma,Frente a parque de la amistad,Bosque de Chapultepec,Miguel Hidalgo,-99.180334,19.424282,Circuito Mahatma Gandhi-Av. Paseo de la Reforma
195,Paseo de la Reforma,Mahatma Gandhi,Frente a Museo de Antropología,Bosque de Chapultepec,Miguel Hidalgo,-99.185181,19.424858,Paseo de la Reforma-Mahatma Gandhi
196,Lago Tanganica,Av. Ejército Nacional,A un costado de SAM´s Club,Polanco,Miguel Hidalgo,-99.192904,19.438349,Lago Tanganica-Av. Ejército Nacional
