id,principal,secundario,referencia,colonia,delegacion,longitud,latitud,nombre
241,Ejercito Nacional,Juan Vázquez de la Mella,Dentro de camellón,Polanco,Miguel Hidalgo,-99.207577,19.438616,Ejercito Nacional-Juan Vázquez de la Mella
242,Miguel de Cervantes Saavedra,Pról. Moliere,Frente a jardineras de concreto,Granada,Miguel Hidalgo,-99.20105,19.440344,Miguel de Cervantes Saavedra-Pról. Moliere
243,Miguel de Cervantes Saavedra,Lago Filt,Frente al Sanatorio Español,Granada,Miguel Hidalgo,-99.196712,19.440839,Miguel de Cervantes Saavedra-Lago Filt
244,Miguel de Cervantes Saavedra,Lago Victoria,Frente a la Óptica Devlyn,Granada,Miguel Hidalgo,-99.193315,19.440885,Miguel de Cervantes Saavedra-Lago Victoria
245,Lago Onega,Av. Ejercito Nacional,Frente a Bancomer,Granada,Miguel Hidalgo,-99.190368,19.438165,Lago Onega-Av. Ejercito Nacional
246,Leibnitz,Thiers,Frente al No. 241,Anzures,Miguel Hidalgo,-99.179835,19.434147,Leibnitz-Thiers
247,Herschel,Rousseau,Atrás de casa Azul,Anzures,Miguel Hidalgo,-99.180565,19.432102,Herschel-Rousseau
248,Shakespeare,Lafayette,Del lado contrario al Modulo de Seguridad Pública,Anzures,Miguel Hidalgo,-99.177399,19.43175,Shakespeare-Lafayette
249,Shakespeare,Darwin,Frente a fachada Gris,Anzures,Miguel Hidalgo,-99.177569,19.429877,Shakespeare-Darwin
250,Darwin,Mariano Escobedo,Frente a Seven 7,Anzures,Miguel Hidalgo,-99.17966,19.429057,Darwin-Mariano Escobedo
251,Goethe,Darwin,Frente a Dryclean USA,Anzures,Miguel Hidalgo,-99.17538,19.429261,Goethe-Darwin
252,Víctor Hugo,Shakespeare,Frente a jardinera,Anzures,Miguel Hidalgo,-99.17702,19.427575,Víctor Hugo-Shakespeare
253,Dante,Tolstoi,Frente al Estacionamiento No. 13,Anzures,Miguel Hidalgo,-99.177924,19.425835,Dante-Tolstoi
254,Alfonso Herrera,Miguel Schultz,Atrás de Escuela,San Rafael,Cuauhtémoc,-99.160074,19.439347,Alfonso Herrera-Miguel Schultz
255,Jose Rosas Moreno,Guillermo Prieto,Frente del Minisúper Dorado,San Rafael,Cuauhtémoc,-99.165099,19.43788,Jose Rosas Moreno-Guillermo Prieto
256,Gómez Farías,Sadi Carnot,Frente a la UVM,San Rafael,Cuauhtémoc,-99.158313,19.437167,Gómez Farías-Sadi Carnot
257,Manuel Maria Contreras,Villalongín,A un costado de Concamin,San Rafael,Cuauhtémoc,-99.166223,19.433803,Manuel Maria Contreras-Villalongín
259,Tomás Alva Edison,Ponciano Arriaga,Frente a Hotel Edison,Tabacalera,Cuauhtémoc,-99.15468,19.437569,Tomás Alva Edison-Ponciano Arriaga
260,Donato Guerra,Humboldt,Frente al Centro Comercial de China,Centro,Cuauhtémoc,-99.14857,19.433013,Donato Guerra-Humboldt
261,Paseo de la Reforma,Río Ródano,Frente a Torre Mayor,Cuauhtémoc,Cuauhtémoc,-99.175196,19.423704,Paseo de la Reforma-Río Ródano
262,Republica de Cuba,Republica de Brasil,Frente a Plaza Santo Domingo,Centro,Cuauhtémoc,-99.133952,19.436931,Republica de Cuba-Republica de Brasil
267,Circuito Interior,Juan Escutia,Bajo el puente de Circuito,Condesa,Cuauhtémoc,-99.179143,19.416727,Circuito Interior-Juan Escutia
268,Carlos J. Meneses,Av. Jesús García,A un costado de Wal-Mart,Buenavista,Cuauhtémoc,-99.153082,19.444272,Carlos J. Meneses-Av. Jesús García
269,Av. Jesús García,Carlos J. Meneses,A un costado del Deportivo Cuauhtémoc,Buenavista,Cuauhtémoc,-99.152187,19.444031,Av. Jesús García-Carlos J. Meneses
270,Carlos J. Meneses,Av. Jesús García,A un costado de Wal-Mart,Buenavista,Cuauhtémoc,-99.15264,19.444199,Carlos J. Meneses-Av. Jesús García
271,Carlos J. Meneses,Av. Jesús García,A un costado de Wal-Mart,Buenavista,Cuauhtémoc,-99.152894,19.444244,Carlos J. Meneses-Av. Jesús García
272,Jesús García,Héroes Ferrocarrileros,Frente a Delegación Cuauhtémoc,Buenavista,Cuauhtémoc,-99.152265,19.440839,Jesús García-Héroes Ferrocarrileros
273,Jesús García,H. Ferrocarrileros,A un costado del CEN del PRI,Buenavista,Cuauhtémoc,-99.152935,19.440985,Jesús García-H. Ferrocarrileros
274,Sadi Carnot,Gómez Farías,Frente a UVM,San Rafael,Cuauhtémoc,-99.158425,19.436274,Sadi Carnot-Gómez Farías
275,De La República,Ponciano Arriaga,Frente al Frontón México,Tabacalera,Cuauhtémoc,-99.153865,19.436764,De La República-Ponciano Arriaga
